adj_cluster_id,cluster_id,group,depth,amplitude,region,probe
663,663,good,3144.2834492800516,77.26583330030012,v1,posterior
665,665,good,1181.1653944020356,541.5706853556293,thalamus,posterior
666,666,good,421.70534831460674,137.71680948934707,thalamus,posterior
667,667,mua,279.24949137369794,314.7687188018722,thalamus,posterior
668,668,mua,1010.3766666666667,296.3904153678256,thalamus,posterior
669,669,mua,566.5192057291666,132.92060335820597,thalamus,posterior
670,670,good,3126.0003099333644,162.80663918764995,v1,posterior
671,671,good,3213.7117107093186,126.36637269860374,v1,posterior
672,672,mua,999.871186023622,303.0266133894289,thalamus,posterior
673,673,good,1868.0058734614554,88.56292158403623,hippocampus,posterior
675,675,mua,1040.1570657630523,245.90629112332167,thalamus,posterior
677,677,mua,1473.9925545302012,297.65801869557305,thalamus,posterior
680,680,mua,1938.5514092268934,83.47110518579859,hippocampus,posterior
682,682,mua,1934.9801749271137,116.48381363815439,hippocampus,posterior
685,685,mua,712.500334135258,138.8409022637576,thalamus,posterior
686,686,mua,1328.3767814726841,219.65246424004468,thalamus,posterior
687,687,mua,204.8175751657197,305.2603108876852,thalamus,posterior
689,689,mua,851.390523538961,214.96268319500436,thalamus,posterior
692,692,good,3459.0035486160396,136.9810617167173,v1,posterior
696,696,mua,1798.5395171957673,212.28464121244863,hippocampus,posterior
699,699,mua,3067.0994475138123,69.93042240865873,v1,posterior
702,702,good,3491.7289575289574,504.23827324949247,v1,posterior
705,705,mua,1242.3580729166667,220.52053619559544,thalamus,posterior
706,706,mua,1275.0927526595744,163.2951841570575,thalamus,posterior
707,707,mua,1779.500139821029,90.04141907502581,hippocampus,posterior
709,709,mua,680.8588330924855,204.08356864356824,thalamus,posterior
711,711,mua,2999.3364997121475,91.62099332306894,v1,posterior
712,712,mua,3502.0428226779254,99.79638228270184,v1,posterior
713,713,mua,3085.754816955684,85.20235600684654,v1,posterior
715,715,good,1858.1020704685798,140.25591041690421,hippocampus,posterior
716,716,mua,800.2324598930481,164.97107029265783,thalamus,posterior
717,717,mua,1450.3330061349693,172.36010499421445,thalamus,posterior
719,719,mua,1063.0001088850174,449.07115585071807,thalamus,posterior
721,721,mua,94.92951274671053,191.55799694631216,thalamus,posterior
722,722,mua,1749.8668224299065,199.445279834936,hippocampus,posterior
729,729,mua,2736.455718623482,357.02165460217196,hippocampus,posterior
731,731,mua,1020.0,110.27129990172888,thalamus,posterior
732,732,mua,710.7732077205883,190.8585693489921,thalamus,posterior
734,734,mua,1361.6395699356913,415.59088422265705,thalamus,posterior
739,739,good,853.5320026655666,117.00969883324008,thalamus,posterior
740,740,mua,931.1639066951567,132.85069158354756,thalamus,posterior
741,741,mua,1412.241711469534,283.74531430191917,thalamus,posterior
742,742,mua,2506.6236661585367,63.555544441899066,hippocampus,posterior
744,744,mua,1479.191507633588,105.60684955355804,thalamus,posterior
745,745,good,3409.3271436373566,194.71598352537976,v1,posterior
748,748,mua,840.0013554727211,200.4105121563953,thalamus,posterior
751,751,mua,2637.9934623430963,220.4285194356235,hippocampus,posterior
752,752,mua,2613.042668269231,273.82633411495215,hippocampus,posterior
762,762,mua,78.64723557692308,168.5443284017404,thalamus,posterior
763,763,mua,935.878891509434,124.06236588901484,thalamus,posterior
764,764,good,1010.598893432764,119.78582714428146,thalamus,posterior
765,765,good,291.37090442397704,140.46090108736186,thalamus,posterior
766,766,mua,1052.750100482315,209.59840397949398,thalamus,posterior
767,767,good,2567.691354966559,218.97033207938816,hippocampus,posterior
768,768,mua,1220.0,155.9079255640607,thalamus,posterior
774,774,mua,896.8427220394736,178.8797917493663,thalamus,posterior
775,775,good,2586.5405831363278,106.88571224244392,hippocampus,posterior
776,776,mua,1045.0477611940298,363.02217561136155,thalamus,posterior
777,777,mua,3507.943196162585,99.18967628470979,v1,posterior
778,778,mua,1063.0214979195562,203.7034823249192,thalamus,posterior
779,779,mua,1479.5186864219372,166.95280672568455,thalamus,posterior
780,780,good,2860.0,89.2594990524781,v1,posterior
783,783,mua,896.0888396454473,171.81325493898947,thalamus,posterior
785,785,mua,230.10309606481482,151.12807137849515,thalamus,posterior
786,786,mua,1021.996433423913,205.08869114128942,thalamus,posterior
788,788,mua,1008.7815265486726,605.0420636433267,thalamus,posterior
789,789,good,1813.7199162223915,89.41936303780008,hippocampus,posterior
790,790,mua,616.9022623697916,166.95158219084598,thalamus,posterior
795,795,mua,469.0564747752248,143.5377814946008,thalamus,posterior
797,797,mua,1415.5569444444445,190.11700959849168,thalamus,posterior
798,798,mua,673.3809200310559,478.69712440568634,thalamus,posterior
803,803,good,1059.6181950463417,152.10480409599705,thalamus,posterior
806,806,mua,1960.1209846892825,67.40993384299938,hippocampus,posterior
807,807,mua,3342.000740466494,81.28026468944556,v1,posterior
808,808,mua,3204.54701761834,98.90931773181948,v1,posterior
810,810,mua,3501.3471365638766,122.97625254579239,v1,posterior
812,812,mua,3304.5025839793284,82.67744905285193,v1,posterior
814,814,good,3507.380160067397,264.052449590541,v1,posterior
815,815,mua,688.0109169639862,142.27251930994575,thalamus,posterior
816,816,mua,1990.1393229166667,71.82179409324192,hippocampus,posterior
818,818,good,3249.8565410718466,108.41305268474058,v1,posterior
820,820,unsorted,334.7451525734423,150.28623576333322,thalamus,posterior
822,822,mua,1039.9518633540372,306.00436739766417,thalamus,posterior
825,825,mua,1442.0310267857142,450.7569727648478,thalamus,posterior
827,827,good,1889.8895302547771,152.98251420110336,hippocampus,posterior
829,829,mua,1286.2504200268818,123.07948841876933,thalamus,posterior
831,831,good,219.9227767842627,173.76169668771212,thalamus,posterior
832,832,mua,3172.4703401001843,109.43023925948228,v1,posterior
